"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"RRAS",12.84,440,0.0163483688786505,2.13578750856677
"MIR1229",12.82,441,0.0163855242624656,2.1348771221525
"MIR4530",12.82,442,0.0164226796462807,2.13396850170036
"TRAPPC2L",12.81,443,0.0164598350300959,2.13306163962515
"PDF",12.77,444,0.016496990413911,2.13215652839141
"RNF167",12.76,445,0.0165341457977261,2.13125316051297
"FSCN2",12.75,446,0.0165713011815412,2.13035152855253
"LRRC24",12.75,447,0.0166084565653563,2.1294516251212
"MIR219A2",12.75,448,0.0166456119491714,2.12855344287812
"SMARCC2",12.75,449,0.0166827673329865,2.12765697453
"LOC101928728",12.72,450,0.0167199227168017,2.12676221283075
"FLNA",12.71,451,0.0167570781006168,2.12586915058103
"GRK2",12.71,452,0.0167942334844319,2.12497778062785
"SLC2A4RG",12.71,453,0.016831388868247,2.12408809586421
"LOC106660606",12.67,454,0.0168685442520621,2.12320008922864
"MIR6787",12.65,455,0.0169056996358772,2.12231375370487
"PEX10",12.65,456,0.0169428550196924,2.12142908232139
"RNU4ATAC",12.65,457,0.0169800104035075,2.12054606815111
"JTB",12.64,458,0.0170171657873226,2.11966470431095
"TMUB1",12.64,459,0.0170543211711377,2.11878498396146
"CRIP1",12.62,460,0.0170914765549528,2.11790690030649
