"gene","dsb_density","dsb_rank","dsb_empirical_p","dsb_z"
"SNORA57",914.745,175,0.00678058041768375,2.46868216578002
"SNAR-C3",913.785,176,0.00681932659149909,2.46664228205605
"DSCAM-AS1",894.775,177,0.00685807276531443,2.46461261098581
"SULF2",888.09,178,0.00689681893912976,2.46259304254099
"MIR5584",884.615,179,0.0069355651129451,2.46058346849254
"C11ORF98",882.575,180,0.00697431128676043,2.4585837823714
"CALR",880.26,181,0.00701305746057577,2.45659387943018
"PSMD7",876.345,182,0.0070518036343911,2.45461365660605
"SNORA62",874.065,183,0.00709054980820644,2.45264301248441
"MIR6747",870.345,184,0.00712929598202178,2.45068184726376
"MIR6819",870.345,185,0.00716804215583711,2.44873006272131
"FAM84B",866.195,186,0.00720678832965245,2.44678756217968
"PNN",862.835,187,0.00724553450346778,2.44485425047435
"MIR6758",861.18,188,0.00728428067728312,2.44293003392202
"MIR6745",856.67,189,0.00732302685109845,2.44101482028979
"RPS8",851.89,190,0.00736177302491379,2.43910851876511
"LOC101927377",844.67,191,0.00740051919872913,2.4372110399266
"MIR4658",835.085,192,0.00743926537254446,2.43532229571549
"MIR569",834.455,193,0.0074780115463598,2.43344219940789
"HIST2H4A",827.165,194,0.00751675772017513,2.43157066558772
"SNORA10",818.315,195,0.00755550389399047,2.42970761012036
"ZMYND8",815.475,196,0.0075942500678058,2.42785295012691
"EEF2",813.725,197,0.00763299624162114,2.42600660395915
"RNU5D-1",812.835,198,0.00767174241543648,2.42416849117508
"SNORD98",810.52,199,0.00771048858925181,2.42233853251512
"SNORD18C",802.035,200,0.00774923476306715,2.42051664987883
"ACTG1",801.59,201,0.00778798093688248,2.41870276630225
"SNORD111B",799.21,202,0.00782672711069782,2.41689680593581
"TBX4",795.96,203,0.00786547328451315,2.41509869402271
"SNORA2C",794.595,204,0.00790421945832849,2.41330835687786
"MIR4278",787.365,205,0.00794296563214383,2.41152572186737
"MIR6799",770.88,206,0.00798171180595916,2.40975071738843
"SNORA7A",770.88,207,0.0080204579797745,2.4079832728498
"H1FX",765.99,208,0.00805920415358983,2.40622331865264
"MIR4664",765.495,209,0.00809795032740517,2.40447078617185
"SNORD36B",765.495,210,0.0081366965012205,2.40272560773787
"LOC101559451",762.11,211,0.00817544267503584,2.40098771661888
"NCL",759.68,212,0.00821418884885118,2.39925704700337
"MIR4797",757.48,213,0.00825293502266651,2.39753353398322
"SNORD38A",757.48,214,0.00829168119648185,2.39581711353705
"SNORD49A",757.48,215,0.00833042737029718,2.39410772251405
"MIR3681",755.005,216,0.00836917354411252,2.39240529861815
"MIR6875",755.005,217,0.00840791971792785,2.39070978039248
"SNORD36A",755.005,218,0.00844666589174319,2.38902110720432
"MLPH",750.51,219,0.00848541206555853,2.38733921923024
"LINC01523",748.57,220,0.00852415823937386,2.38566405744169
"SNHG6",745.045,221,0.0085629044131892,2.38399556359088
"MIR4444-1",744.805,222,0.00860165058700453,2.38233368019689
