"gene","top1_density","top1_rank","top1_empirical_p","top1_z"
"PPP1R10",1.9,396,0.0147135319907855,2.17771765094549
"RPL22L1",1.9,397,0.0147506873746006,2.17672121058888
"THOC6",1.9,398,0.0147878427584157,2.17572692680819
"RAB26",1.89,399,0.0148249981422308,2.17473478930998
"SNHG1",1.89,400,0.0148621535260459,2.17374478787579
"ERRFI1",1.88,401,0.014899308909861,2.17275691236138
"GPR151",1.88,402,0.0149364642936762,2.171771152696
"LOC105372280",1.88,403,0.0149736196774913,2.1707874988817
"MIR6834",1.88,404,0.0150107750613064,2.1698059409926
"P2RY11",1.88,405,0.0150479304451215,2.16882646917421
"SNORD75",1.88,406,0.0150850858289366,2.16784907364273
"GADD45G",1.87,407,0.0151222412127517,2.16687374468437
"IL10RB-AS1",1.87,408,0.0151593965965668,2.16590047265469
"MIR516B2",1.87,409,0.015196551980382,2.16492924797793
"MIR624",1.87,410,0.0152337073641971,2.16396006114632
"MIR6756",1.87,411,0.0152708627480122,2.1629929027195
"MIR6825",1.87,412,0.0153080181318273,2.16202776332382
"NRIP1",1.87,413,0.0153451735156424,2.16106463365173
"OR6B2",1.87,414,0.0153823288994575,2.16010350446116
"RPS23",1.87,415,0.0154194842832726,2.15914436657489
"SNORA53",1.87,416,0.0154566396670878,2.15818721087993
"HIST1H2AE",1.86,417,0.0154937950509029,2.15723202832696
"MIR3606",1.86,418,0.015530950434718,2.15627880992968
"MIR7845",1.86,419,0.0155681058185331,2.15532754676424
"SKIL",1.86,420,0.0156052612023482,2.15437822996867
"FOSL2",1.85,421,0.0156424165861633,2.15343085074231
"KRTAP23-1",1.85,422,0.0156795719699785,2.1524854003452
"LOC101927851",1.85,423,0.0157167273537936,2.15154187009757
"MIR1908",1.85,424,0.0157538827376087,2.15060025137922
"MIR2113",1.85,425,0.0157910381214238,2.14966053562906
"MIR4269",1.85,426,0.0158281935052389,2.14872271434447
"MIR4713",1.85,427,0.015865348889054,2.14778677908082
"MIR4784",1.85,428,0.0159025042728691,2.14685272145095
"MIR5586",1.85,429,0.0159396596566843,2.14592053312461
"SLC35B2",1.85,430,0.0159768150404994,2.14499020582793
"SNAR-D",1.85,431,0.0160139704243145,2.14406173134298
"SNORA29",1.85,432,0.0160511258081296,2.14313510150717
"SNORD111",1.85,433,0.0160882811919447,2.14221030821281
"TNFRSF12A",1.85,434,0.0161254365757598,2.14128734340662
"COPS6",1.84,435,0.0161625919595749,2.14036619908919
"EDN1",1.84,436,0.0161997473433901,2.13944686731453
"LENEP",1.84,437,0.0162369027272052,2.13852934018959
"LOC100996419",1.84,438,0.0162740581110203,2.13761360987379
"MIR2909",1.84,439,0.0163112134948354,2.13669966857854
"MIR6515",1.84,440,0.0163483688786505,2.13578750856677
"MIR6786",1.84,441,0.0163855242624656,2.1348771221525
"GPS2",1.83,442,0.0164226796462807,2.13396850170036
"HNRNPDL",1.83,443,0.0164598350300959,2.13306163962515
"MIR4441",1.83,444,0.016496990413911,2.13215652839141
"MIR6735",1.83,445,0.0165341457977261,2.13125316051297
"RHOV",1.83,446,0.0165713011815412,2.13035152855253
"SAT1",1.83,447,0.0166084565653563,2.1294516251212
"SNORA68",1.83,448,0.0166456119491714,2.12855344287812
"SNORD17",1.83,449,0.0166827673329865,2.12765697453
"HIST1H2AC",1.82,450,0.0167199227168017,2.12676221283075
"LINC01011",1.82,451,0.0167570781006168,2.12586915058103
"LXN",1.82,452,0.0167942334844319,2.12497778062785
"MIR3655",1.82,453,0.016831388868247,2.12408809586421
"MIR3689D2",1.82,454,0.0168685442520621,2.12320008922864
"MIR4512",1.82,455,0.0169056996358772,2.12231375370487
"MIR6764",1.82,456,0.0169428550196924,2.12142908232139
