"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"SNORD12C",1.84,315,0.0117039459017612,2.26671090513674
"GAGE2A",1.83,316,0.0117411012855763,2.26549692399593
"GAGE2B",1.83,317,0.0117782566693914,2.26428627247765
"GAGE2C",1.83,318,0.0118154120532065,2.26307893060257
"MIR191",1.83,319,0.0118525674370216,2.26187487857408
"MIR6811",1.83,320,0.0118897228208367,2.26067409677599
"MYL12A",1.83,321,0.0119268782046519,2.25947656577036
"NPIPB9",1.83,322,0.011964033588467,2.2582822662953
"PRICKLE2",1.83,323,0.0120011889722821,2.25709117926286
"RNASE12",1.83,324,0.0120383443560972,2.25590328575691
"SNAR-A1",1.83,325,0.0120754997399123,2.25471856703106
"UPK3BL",1.83,326,0.0121126551237274,2.25353700450663
"C1ORF56",1.82,327,0.0121498105075425,2.25235857977065
"IER3",1.82,328,0.0121869658913577,2.25118327457384
"METTL12",1.82,329,0.0122241212751728,2.25001107082869
"MIR296",1.82,330,0.0122612766589879,2.24884195060754
"MIR4267",1.82,331,0.012298432042803,2.24767589614064
"MIR635",1.82,332,0.0123355874266181,2.24651288981436
"OPN1MW2",1.82,333,0.0123727428104332,2.24535291416929
"RNVU1-8",1.82,334,0.0124098981942483,2.24419595189843
"SNORA7B",1.82,335,0.0124470535780635,2.24304198584547
"SNORD121B",1.82,336,0.0124842089618786,2.24189099900294
"GABPB1-AS1",1.81,337,0.0125213643456937,2.24074297451056
"HIST1H2AB",1.81,338,0.0125585197295088,2.23959789565347
"HSPB1",1.81,339,0.0125956751133239,2.23845574586059
"LINC00884",1.81,340,0.012632830497139,2.23731650870292
"LOC105376271",1.81,341,0.0126699858809541,2.23618016789197
"MIR27A",1.81,342,0.0127071412647693,2.23504670727807
"MIR4668",1.81,343,0.0127442966485844,2.23391611084886
"MIR4674",1.81,344,0.0127814520323995,2.23278836272765
"MIR518B",1.81,345,0.0128186074162146,2.23166344717193
"MIR93",1.81,346,0.0128557628000297,2.23054134857186
"NBPF10",1.81,347,0.0128929181838448,2.22942205144871
