"gene","expression"
"SF3B4",79.395
"C19ORF53",79.3533333333333
"HDDC2",79.2683333333333
"PIP5K1A",79.2016666666667
"PSMC4",79.175
"FLNB",79.0016666666667
"DDX1",78.9633333333333
"XRN2",78.9416666666667
"UQCR10",78.935
"STOM",78.9066666666667
"DYNLT1",78.86
"COPE",78.8266666666667
"SFXN1",78.6483333333333
"USP22",78.6266666666667
"ATP6V1E1",78.6266666666667
"C11ORF58",78.4983333333333
"MAPK3",78.4166666666667
"PSME2",78.31
"MRPS24",78.195
"DCAF13",78.1616666666667
"NOLC1",78.135
"UBR5",78.09
"PPM1D",78.0766666666667
"ESRP1",77.8816666666667
"HADHA",77.87
"NPEPPS",77.845
"TRAP1",77.805
"FUBP1",77.695
"CELSR2",77.6233333333333
"SMC4",77.3583333333333
"ROMO1",77.3416666666667
"ALYREF",77.27
"SBDS",77.115
"SPIN1",77.0833333333333
"NUP85",77.0683333333333
"CYB561",77.0533333333333
"PDIA4",76.815
"SLC5A6",76.555
"TM9SF2",76.4933333333333
"UBXN4",76.395
"PSMD1",76.205
"MARCHF6",76.1716666666667
"AK6",76.1333333333333
"SLC1A5",76.1083333333333
"ZFP36L2",75.985
"RFC3",75.9783333333333
"ERP29",75.955
"ZC3H11A",75.7233333333333
"P4HB",75.5933333333333
"NFE2L1",75.59
"PAF1",75.55
"GORASP2",75.4316666666667
"PSMD8",75.3966666666667
"SRSF11",75.3783333333333
"HDAC2",75.37
"TRAPPC1",75.33
"PPM1G",75.155
"GLUL",75.0283333333333
"HEXB",75.0266666666667
"HIGD2A",75.0083333333333
"PPP2R5C",74.98
"SSR3",74.97
