"gene","top1_density"
"ANG",1.23
"ANGEL1",1.11
"ANGEL2",1.09
"ANGPT1",1.05
"ANGPT2",1.04
"ANGPT4",1.02
"ANGPTL1",1.16
"ANGPTL2",1.13
"ANGPTL3",1.1
"ANGPTL4",1.29
"ANGPTL5",1.07
"ANGPTL6",1.04
"ANGPTL7",1
"ANGPTL8",1.12
"ANHX",1.07
"ANK1",1.06
"ANK2",1.1
"ANK3",1.11
"ANKAR",1.05
"ANKDD1A",1.08
"ANKDD1B",1.08
"ANKEF1",1.14
"ANKFN1",1.06
"ANKFY1",1.14
"ANKH",1.11
"ANKHD1",1.18
"ANKHD1-EIF4EBP3",1.18
"ANKIB1",1.12
"ANKK1",1.07
"ANKLE1",1.14
"ANKLE2",1.23
"ANKMY1",1.11
"ANKMY2",1.1
"ANKRA2",1.15
"ANKRD1",1.1
"ANKRD10",1.25
"ANKRD11",1.31
"ANKRD12",1.17
"ANKRD13A",1.09
"ANKRD13B",1.08
"ANKRD13C",1.14
"ANKRD13D",1.11
"ANKRD16",1.07
"ANKRD17",1.22
"ANKRD18A",1.18
"ANKRD18B",1.15
"ANKRD18CP",1.08
"ANKRD18DP",1.15
"ANKRD19P",1.07
"ANKRD2",1
"ANKRD20A1",1.05
"ANKRD20A11P",1.17
"ANKRD20A19P",1.12
"ANKRD20A2",1.07
"ANKRD20A3",1.07
"ANKRD20A4",1.09
"ANKRD20A5P",1.11
"ANKRD20A8P",1.07
"ANKRD20A9P",0.72
"ANKRD22",1.14
"ANKRD23",1.18
"ANKRD24",1.08
"ANKRD26",1.13
"ANKRD26P1",1.07
"ANKRD26P3",1.13
"ANKRD27",1.09
"ANKRD28",1.16
"ANKRD29",1.09
"ANKRD30A",1.1
"ANKRD30B",1.13
"ANKRD30BL",1.07
"ANKRD30BP2",1.06
"ANKRD30BP3",1.07
"ANKRD31",1.1
"ANKRD33",1.04
"ANKRD33B",1.09
"ANKRD34A",1.15
"ANKRD34B",1.19
"ANKRD34C",1.06
"ANKRD34C-AS1",1.1
"ANKRD35",1.1
"ANKRD36",1.08
"ANKRD36B",1.12
"ANKRD36BP1",1.09
"ANKRD36BP2",1.07
"ANKRD36C",0
"ANKRD37",1.22
"ANKRD39",1.16
"ANKRD40",1.2
"ANKRD42",1.12
"ANKRD44",1.08
"ANKRD44-IT1",1.08
"ANKRD45",1.07
"ANKRD46",1.11
"ANKRD49",1.19
"ANKRD50",1.42
"ANKRD52",1.03
"ANKRD53",1.2
"ANKRD54",1.1
"ANKRD55",1.1
"ANKRD6",1.11
"ANKRD60",1.15
"ANKRD61",1.38
"ANKRD62",1.09
"ANKRD62P1-PARP4P3",1.1
"ANKRD63",1.24
"ANKRD65",1.08
"ANKRD66",1.14
"ANKRD7",1.04
"ANKRD9",1.14
"ANKS1A",1.13
"ANKS1B",1.07
"ANKS3",1.14
"ANKS4B",1.02
"ANKS6",1.05
"ANKUB1",1.12
"ANKZF1",1.1
"ANLN",1.26
"ANO1",1.08
"ANO1-AS2",1
"ANO10",1.1
"ANO2",1.07
"ANO3",1.07
"ANO4",1.08
"ANO5",1.07
"ANO6",1.14
"ANO7",1.14
"ANO8",1.06
"ANO9",1.12
"ANOS1",1.07
"ANP32A",1.14
"ANP32A-IT1",1.09
"ANP32AP1",1.1
"ANP32B",1.49
"ANP32C",1.22
"ANP32D",0.93
"ANP32E",1.12
"ANPEP",1.08
"ANTXR1",1.07
"ANTXR2",1.07
"ANTXRL",1.09
"ANTXRLP1",1.02
"ANXA1",1.17
"ANXA10",1.07
"ANXA11",1.15
"ANXA13",1.08
"ANXA2",1.31
"ANXA2P1",0.9
"ANXA2P2",1.07
"ANXA2P3",1.21
"ANXA2R",1.1
"ANXA3",1.11
"ANXA4",1.13
"ANXA5",1.1
"ANXA6",1.09
"ANXA7",1.16
"ANXA8",1.05
"ANXA8L1",1.09
"ANXA9",1.13
"AOAH",1.06
"AOAH-IT1",1.03
"AOC1",1.12
"AOC2",1.32
"AOC3",0.97
"AOC4P",1.19
"AOX1",1.11
"AOX3P-AOX2P",1.11
"AP1AR",1.18
"AP1B1",1.15
"AP1B1P1",0.98
"AP1G1",1.24
"AP1G2",1.23
"AP1M1",1.07
"AP1M2",1.15
"AP1S1",1.07
"AP1S2",1.11
"AP1S3",1.2
"AP2A1",1.07
"AP2A2",1.1
"AP2B1",1.13
"AP2M1",1.08
"AP2S1",1.36
"AP3B1",1.14
"AP3B2",1.05
"AP3D1",1.16
"AP3M1",1.13
"AP3M2",1.14
"AP3S1",1.14
"AP3S2",1.27
"AP4B1",1.03
"AP4B1-AS1",1.1
"AP4E1",1.1
"AP4M1",1.17
"AP4S1",1.16
"AP5B1",1.04
"AP5M1",1.18
"AP5S1",1.09
"AP5Z1",1.08
"APAF1",1.1
"APBA1",1.07
"APBA2",1.07
"APBA3",1.05
"APBB1",0.98
"APBB1IP",1.11
"APBB2",1.17
"APBB3",1.11
"APC",1.1
"APC2",1.08
"APCDD1",1.09
"APCDD1L",1.07
"APCDD1L-AS1",1
"APCS",1.19
"APEH",1.25
"APELA",1.11
"APEX1",1.29
"APEX2",1.25
"APH1A",0.96
"APH1B",1.12
"API5",1.15
"APIP",1.07
"APITD1-CORT",1.12
"APLF",1.09
"APLN",1.01
"APLNR",1.08
"APLP1",0.99
"APLP2",1.17
"APMAP",1.13
"APOA1",1.03
"APOA1-AS",1.06
"APOA2",1.01
"APOA4",1.02
"APOA5",1.09
"APOB",1.08
"APOBEC1",1.1
"APOBEC2",1.15
"APOBEC3A",1
"APOBEC3A_B",1.09
"APOBEC3B",1.11
"APOBEC3B-AS1",1.13
"APOBEC3C",1.06
"APOBEC3D",0.95
"APOBEC3F",0.97
"APOBEC3G",1.05
"APOBEC3H",1.05
"APOBEC4",1
"APOBR",0.86
"APOC1",0.87
"APOC1P1",1.03
"APOC2",1.11
"APOC3",1.16
"APOC4",0.91
"APOC4-APOC2",1
"APOD",1.04
"APOE",0.96
"APOF",0.94
"APOH",1.02
"APOL1",1.1
"APOL2",1.06
"APOL3",1.1
"APOL4",1.05
"APOL5",1.03
"APOL6",1.05
"APOLD1",1.15
"APOM",1.16
"APOO",1.1
"APOOL",1.07
"APOOP5",1.19
"APOPT1",1.14
"APP",1.19
"APPBP2",1.13
"APPL1",1.13
"APPL2",1.22
"APRT",2.15
"APTR",1.18
"APTX",1.1
"AQP1",1.02
"AQP10",1.11
"AQP11",1.31
"AQP12A",0.94
"AQP12B",0.93
"AQP2",1.12
"AQP3",1.13
"AQP4",1.12
"AQP4-AS1",1.06
"AQP5",1.14
"AQP6",1.14
"AQP7",1.03
"AQP7P1",1.05
"AQP7P3",1.05
"AQP8",0.98
"AQP9",1.07
"AQR",1.15
"AR",1.1
"ARAF",1.21
"ARAP1",1.1
"ARAP2",1.09
"ARAP3",1.01
"ARC",1.06
"ARCN1",1.24
"AREG",6.56
"AREL1",1.07
"ARF1",1.14
"ARF3",1.13
"ARF4",1.24
"ARF4-AS1",1.31
"ARF5",0.96
"ARF6",1.65
"ARFGAP1",1.18
"ARFGAP2",1.19
"ARFGAP3",1.12
"ARFGEF1",1.16
"ARFGEF2",1.12
"ARFGEF3",1.13
"ARFIP1",1.11
"ARFIP2",1.15
"ARFRP1",1.26
"ARG1",1.07
"ARG2",1.17
"ARGFX",1.05
"ARGFXP2",0.99
"ARGLU1",1.17
"ARHGAP1",1.19
"ARHGAP10",1.12
"ARHGAP11A",1.11
"ARHGAP11B",1.14
"ARHGAP12",1.24
"ARHGAP15",1.08
"ARHGAP17",1.15
"ARHGAP18",1.08
"ARHGAP19",1.17
"ARHGAP19-SLIT1",1.13
"ARHGAP20",1.07
"ARHGAP21",1.11
"ARHGAP22",1.09
"ARHGAP23",1.05
"ARHGAP24",1.07
"ARHGAP25",1.06
"ARHGAP26",1.21
"ARHGAP26-AS1",1.61
"ARHGAP26-IT1",1.17
"ARHGAP27",1.08
"ARHGAP27P1",0.99
"ARHGAP27P1-BPTFP1-KPNA2P3",1.09
"ARHGAP28",1.04
"ARHGAP29",1.12
"ARHGAP30",1.05
"ARHGAP31",1.1
"ARHGAP31-AS1",1.08
"ARHGAP32",1.1
"ARHGAP33",0.95
"ARHGAP35",1.15
"ARHGAP36",1.09
"ARHGAP39",1.09
"ARHGAP4",1.08
"ARHGAP40",1.04
"ARHGAP42",1.11
"ARHGAP44",1.1
"ARHGAP45",1.12
"ARHGAP5",1.16
"ARHGAP5-AS1",1.5
"ARHGAP6",1.06
"ARHGAP8",1.16
"ARHGAP9",1.1
"ARHGDIA",1.26
"ARHGDIB",1.06
"ARHGDIG",0.99
"ARHGEF1",1.02
"ARHGEF10",1.07
"ARHGEF10L",1.14
"ARHGEF11",1.07
"ARHGEF12",1.19
"ARHGEF15",1
"ARHGEF16",1.13
"ARHGEF17",1.08
"ARHGEF18",1.11
"ARHGEF19",0.97
"ARHGEF2",1.09
"ARHGEF25",1.06
"ARHGEF26",1.12
"ARHGEF26-AS1",1.1
"ARHGEF28",1.1
"ARHGEF3",1.11
"ARHGEF3-AS1",1.1
"ARHGEF33",1.1
"ARHGEF34P",1.11
"ARHGEF35",0.99
"ARHGEF37",1.18
"ARHGEF38",1.07
"ARHGEF38-IT1",1.1
"ARHGEF39",1.31
"ARHGEF4",1.13
"ARHGEF40",1.11
"ARHGEF5",1.11
"ARHGEF6",1.06
"ARHGEF7",1.08
"ARHGEF7-AS1",1.09
"ARHGEF7-AS2",0.97
"ARHGEF9",1.07
"ARHGEF9-IT1",1.11
"ARID1A",1.31
"ARID1B",1.15
"ARID2",1.24
"ARID3A",1.07
"ARID3B",1.1
"ARID3C",1.08
"ARID4A",1.14
"ARID4B",1.3
"ARID5A",1.02
"ARID5B",1.19
"ARIH1",1.21
"ARIH2",1.21
"ARIH2OS",1.02
"ARL1",1.2
"ARL10",1.11
"ARL11",1.21
"ARL13A",1.1
"ARL13B",1.08
"ARL14",1.22
"ARL14EP",1.2
"ARL14EPL",1.15
"ARL15",1.09
"ARL16",1.12
"ARL17A",1.09
"ARL17B",0.9
"ARL2",1.06
"ARL2-SNX15",1.1
"ARL2BP",1.22
"ARL3",1.19
"ARL4A",1.18
"ARL4C",1.27
"ARL4D",1.14
"ARL5A",1.14
"ARL5B",1.21
"ARL5C",1.06
"ARL6",1.14
"ARL6IP1",1.38
"ARL6IP4",1.14
"ARL6IP5",1.13
"ARL6IP6",1.14
