"gene","top1cc_density"
"ANGPTL2",1.24
"ANGPTL3",1.05
"ANGPTL4",1.21
"ANGPTL5",1.09
"ANGPTL6",1.29
"ANGPTL7",1.17
"ANGPTL8",1.41
"ANHX",1.16
"ANK1",1.14
"ANK2",1.14
"ANK3",1.16
"ANKAR",1.13
"ANKDD1A",1.27
"ANKDD1B",1.18
"ANKEF1",1.15
"ANKFN1",1.18
"ANKFY1",1.15
"ANKH",1.24
"ANKHD1",1.17
"ANKHD1-EIF4EBP3",1.18
"ANKIB1",1.19
"ANKK1",1.15
"ANKLE1",1.11
"ANKLE2",1.22
"ANKMY1",1.25
"ANKMY2",1.16
"ANKRA2",1.14
"ANKRD1",1.13
"ANKRD10",1.17
"ANKRD11",1.45
"ANKRD12",1.17
"ANKRD13A",1.24
"ANKRD13B",1.26
"ANKRD13C",1.15
"ANKRD13D",1.39
"ANKRD16",1.23
"ANKRD17",1.13
"ANKRD18A",1.16
"ANKRD18B",1.15
"ANKRD18CP",1.18
"ANKRD18DP",1.24
"ANKRD19P",1.16
"ANKRD2",1.25
"ANKRD20A1",1.19
"ANKRD20A11P",1.13
"ANKRD20A19P",1.15
"ANKRD20A2",1.19
"ANKRD20A3",1.19
"ANKRD20A4",1.21
"ANKRD20A5P",1.1
"ANKRD20A8P",1.18
"ANKRD20A9P",1.19
"ANKRD22",1.11
"ANKRD23",1.46
"ANKRD24",1.23
"ANKRD26",1.19
"ANKRD26P1",1.1
"ANKRD26P3",1.18
"ANKRD27",1.27
"ANKRD28",1.24
"ANKRD29",1.21
"ANKRD30A",1.21
"ANKRD30B",1.14
"ANKRD30BL",1.19
"ANKRD30BP2",1.17
"ANKRD30BP3",1.2
"ANKRD31",1.17
"ANKRD33",1.32
"ANKRD33B",1.24
"ANKRD34A",1.4
"ANKRD34B",1.17
"ANKRD34C",1.19
"ANKRD34C-AS1",1.22
"ANKRD35",1.47
"ANKRD36",1.23
"ANKRD36B",1.18
"ANKRD36BP1",1.15
"ANKRD36BP2",1.16
"ANKRD36C",1.18
"ANKRD37",1.15
"ANKRD39",1.33
"ANKRD40",1.11
"ANKRD42",1.26
"ANKRD44",1.15
"ANKRD44-IT1",1.13
"ANKRD45",1.24
"ANKRD46",1.19
"ANKRD49",1.09
"ANKRD50",1.21
"ANKRD52",1.23
"ANKRD53",1.16
"ANKRD54",1.26
"ANKRD55",1.17
"ANKRD6",1.19
"ANKRD60",1.24
"ANKRD61",1.26
"ANKRD62",1.17
"ANKRD62P1-PARP4P3",1.08
"ANKRD63",1.35
"ANKRD65",1.13
"ANKRD66",1.11
"ANKRD7",1.18
"ANKRD9",1.37
"ANKS1A",1.29
"ANKS1B",1.17
"ANKS3",1.25
