"gene","rloop_density"
"ADAMTS1",0.75
"ADAMTS10",1.33
"ADAMTS12",0.81
"ADAMTS13",1.59
"ADAMTS14",0.89
"ADAMTS15",0.98
"ADAMTS16",0.81
"ADAMTS17",0.94
"ADAMTS18",0.73
"ADAMTS19",1.28
"ADAMTS19-AS1",3.37
"ADAMTS2",0.82
"ADAMTS20",0.78
"ADAMTS3",0.87
"ADAMTS4",1.07
"ADAMTS5",0.83
"ADAMTS6",0.85
"ADAMTS7",1.03
"ADAMTS7P1",0.76
"ADAMTS8",1.03
"ADAMTS9",0.49
"ADAMTS9-AS1",0.5
"ADAMTS9-AS2",0.51
"ADAMTSL1",0.87
"ADAMTSL2",0.87
"ADAMTSL3",0.83
"ADAMTSL4",5.89
"ADAMTSL4-AS1",9.77
"ADAMTSL5",4.88
"ADAP1",7.04
"ADAP2",1.12
"ADAR",3.43
"ADARB1",1.28
"ADARB2",0.89
"ADARB2-AS1",0.98
"ADAT1",1.27
"ADAT2",0.84
"ADAT3",7.88
"ADCK1",1.15
"ADCK2",2.02
"ADCK5",3.7
"ADCY1",1.63
"ADCY10",0.91
"ADCY10P1",0.94
"ADCY2",0.83
"ADCY3",3.4
"ADCY4",0.86
"ADCY5",1.12
"ADCY6",3.55
"ADCY7",2.39
"ADCY8",0.82
"ADCY9",1.6
"ADCYAP1",0.86
"ADCYAP1R1",0.84
"ADD1",1.94
"ADD2",0.85
"ADD3",1.02
"ADD3-AS1",0.84
"ADGB",0.8
"ADGRA1",0.92
"ADGRA1-AS1",0.89
"ADGRA2",1.59
"ADGRA3",1.22
"ADGRB1",2.98
"ADGRB2",1.12
"ADGRB3",0.81
"ADGRD1",0.87
"ADGRE1",0.92
"ADGRE2",1.84
"ADGRE3",0.97
"ADGRE4P",1.03
"ADGRE5",7.17
"ADGRF1",0.87
"ADGRF2",0.84
"ADGRF3",0.98
"ADGRF4",0.99
"ADGRF5",0.85
"ADGRG1",3.41
"ADGRG2",0.96
"ADGRG3",1.74
"ADGRG4",0.78
"ADGRG5",0.99
"ADGRG6",1.03
"ADGRG7",0.83
"ADGRL1",4.81
"ADGRL2",0.81
"ADGRL3",0.87
"ADGRL3-AS1",0.86
"ADGRL4",0.83
"ADGRV1",0.87
"ADH1A",0.86
"ADH1B",0.8
"ADH1C",0.83
"ADH4",0.83
"ADH5",1.61
"ADH6",0.86
"ADH7",0.74
"ADHFE1",1.38
"ADI1",1.34
"ADIG",1.33
"ADIPOQ",0.84
"ADIPOQ-AS1",0.79
"ADIPOR1",2.98
"ADIPOR2",1.45
"ADIRF",5.77
"ADK",1.12
"ADM",1.79
"ADM2",1.62
"ADM5",19.55
"ADNP",2.99
"ADNP-AS1",3.1
"ADNP2",1.06
"ADO",4.33
"ADORA1",0.98
"ADORA2A",1.04
"ADORA2A-AS1",1.01
"ADORA2B",1.8
"ADORA3",0.84
"ADPGK",2.3
"ADPGK-AS1",0.85
"ADPRH",0.82
"ADPRHL1",1.57
"ADPRHL2",2.95
"ADPRM",1.19
"ADRA1A",0.88
"ADRA1B",0.78
"ADRA1D",0.91
"ADRA2A",0.83
"ADRA2B",1.58
"ADRA2C",2.21
"ADRB1",1.91
"ADRB2",0.65
"ADRB3",1.14
"ADRM1",13.55
"ADSL",1.49
"ADSS",1.07
"ADSSL1",6.12
"ADTRP",0.79
"AEBP1",5.61
"AEBP2",1.24
"AEN",3.93
"AES",8.89
"AFAP1",1.59
"AFAP1-AS1",2.08
"AFAP1L1",0.87
"AFAP1L2",0.92
"AFDN",1.22
"AFDN-AS1",1.6
"AFF1",1.22
"AFF2",0.81
"AFF3",0.91
"AFF4",1.58
"AFG3L1P",1.76
"AFG3L2",2.12
"AFM",0.81
"AFMID",2.24
"AFP",0.76
"AFTPH",1.19
"AGA",1.29
"AGAP1",1.92
"AGAP1-IT1",1.85
"AGAP11",1.16
"AGAP12P",0.87
"AGAP2",3.84
"AGAP2-AS1",6.2
"AGAP3",3.82
"AGAP4",0.84
"AGAP5",0.91
"AGAP6",0.96
"AGAP7P",0.82
"AGAP9",1.02
"AGBL1",0.77
"AGBL1-AS1",0.84
"AGBL2",0.99
"AGBL3",0.86
"AGBL4",0.83
"AGBL4-IT1",0.84
"AGBL5",4.39
"AGBL5-AS1",4.58
"AGER",5.59
"AGFG1",1.21
